update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,9998,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0
200,9991,0,0,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0
300,9992,0,0,0,4,0,0,0,3,0,1,0,0,0,0,0,0,0
400,9995,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0
500,9993,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0
600,9993,0,2,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0
700,9989,0,4,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0
800,9988,0,4,0,3,0,1,0,3,0,1,0,0,0,0,0,0,0
900,9989,0,4,0,1,0,1,0,4,0,1,0,0,0,0,0,0,0
1000,9990,0,4,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0
1100,9987,0,4,0,2,0,0,0,6,0,1,0,0,0,0,0,0,0
1200,9992,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1300,9983,0,4,0,3,0,3,0,5,0,2,0,0,0,0,0,0,0
1400,9991,0,4,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0
1500,9984,0,5,0,3,0,4,0,3,0,1,0,0,0,0,0,0,0
1600,9987,0,5,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0
1700,9988,0,4,0,2,0,2,0,1,0,3,0,0,0,0,0,0,0
1800,9991,0,4,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0
1900,9991,0,4,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0
2000,9982,0,5,0,3,0,5,0,4,0,1,0,0,0,0,0,0,0
2100,9990,0,5,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0
2200,9988,0,5,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0
2300,9974,0,11,0,3,0,5,0,4,0,3,0,0,0,0,0,0,0
2400,9983,0,8,0,2,0,5,0,2,0,0,0,0,0,0,0,0,0
2500,9982,0,8,0,1,0,5,0,4,0,0,0,0,0,0,0,0,0
2600,9977,0,8,0,1,0,7,0,6,0,1,0,0,0,0,0,0,0
2700,9978,0,12,0,2,0,2,0,5,0,1,0,0,0,0,0,0,0
2800,9976,0,13,0,3,0,5,0,2,0,1,0,0,0,0,0,0,0
2900,9982,0,12,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
3000,9970,0,17,0,1,0,7,0,2,0,2,0,1,0,0,0,0,0
3100,9977,0,13,0,1,0,5,0,4,0,0,0,0,0,0,0,0,0
3200,9976,0,14,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0
3300,9971,0,17,0,2,0,5,0,4,0,1,0,0,0,0,0,0,0
3400,9967,0,19,0,2,0,6,0,4,0,2,0,0,0,0,0,0,0
3500,9970,0,22,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0
3600,9975,0,17,0,3,0,2,0,0,0,3,0,0,0,0,0,0,0
3700,9973,0,18,0,1,0,3,0,3,0,2,0,0,0,0,0,0,0
3800,9977,0,10,0,1,0,6,0,6,0,0,0,0,0,0,0,0,0
3900,9972,0,14,0,2,0,7,0,3,0,2,0,0,0,0,0,0,0
4000,9974,0,13,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0
4100,9972,0,11,0,3,0,5,0,8,0,1,0,0,0,0,0,0,0
4200,9971,0,15,0,2,0,7,0,4,0,1,0,0,0,0,0,0,0
4300,9978,0,15,0,1,0,2,0,2,0,2,0,0,0,0,0,0,0
4400,9966,0,20,0,1,0,12,0,0,0,1,0,0,0,0,0,0,0
4500,9966,0,17,0,2,0,7,0,5,0,2,0,1,0,0,0,0,0
4600,9966,0,13,0,5,0,9,0,6,0,1,0,0,0,0,0,0,0
4700,9966,0,14,0,3,0,12,0,4,0,1,0,0,0,0,0,0,0
4800,9961,0,19,0,3,0,7,0,9,0,1,0,0,0,0,0,0,0
4900,9968,0,23,0,2,0,3,0,4,0,0,0,0,0,0,0,0,0
5000,9955,0,27,0,2,0,12,0,4,0,0,0,0,0,0,0,0,0
5100,9964,0,28,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0
5200,9951,0,35,0,3,0,7,0,4,0,0,0,0,0,0,0,0,0
5300,9951,0,38,0,1,0,7,0,0,0,3,0,0,0,0,0,0,0
5400,9940,0,43,0,1,0,13,0,0,0,3,0,0,0,0,0,0,0
5500,9940,0,45,0,2,0,12,0,1,0,0,0,0,0,0,0,0,0
5600,9930,0,47,0,4,0,13,0,4,0,2,0,0,0,0,0,0,0
5700,9933,0,46,0,2,0,14,0,5,0,0,0,0,0,0,0,0,0
5800,9921,0,53,0,5,0,12,0,6,0,3,0,0,0,0,0,0,0
5900,9911,0,61,0,3,0,14,0,10,0,1,0,0,0,0,0,0,0
6000,9910,0,66,0,3,0,13,0,5,0,3,0,0,0,0,0,0,0
6100,9906,0,71,0,4,0,10,0,6,0,3,0,0,0,0,0,0,0
6200,9903,0,72,0,5,0,15,0,4,0,1,0,0,0,0,0,0,0
6300,9895,0,81,0,1,0,16,0,5,0,2,0,0,0,0,0,0,0
6400,9902,0,82,0,1,0,8,0,7,0,0,0,0,0,0,0,0,0
6500,9902,0,79,0,1,0,10,0,7,0,1,0,0,0,0,0,0,0
6600,9900,0,77,0,3,0,12,0,8,0,0,0,0,0,0,0,0,0
6700,9888,0,89,0,4,0,15,0,2,0,2,0,0,0,0,0,0,0
6800,9882,0,98,0,4,0,10,0,5,0,1,0,0,0,0,0,0,0
6900,9877,0,104,0,0,0,12,0,2,0,4,0,1,0,0,0,0,0
7000,9867,0,114,0,1,0,8,0,8,0,2,0,0,0,0,0,0,0
7100,9872,0,106,0,3,0,13,0,5,0,1,0,0,0,0,0,0,0
7200,9867,0,113,0,3,0,9,0,7,0,0,0,1,0,0,0,0,0
7300,9869,0,111,0,2,0,10,0,6,0,2,0,0,0,0,0,0,0
7400,9887,0,97,0,2,0,11,0,1,0,2,0,0,0,0,0,0,0
7500,9870,0,105,0,5,0,13,0,6,0,1,0,0,0,0,0,0,0
7600,9867,0,105,0,2,0,12,0,13,0,1,0,0,0,0,0,0,0
7700,9877,0,108,0,1,0,9,0,3,0,2,0,0,0,0,0,0,0
7800,9859,0,112,0,4,0,13,0,10,0,1,0,1,0,0,0,0,0
7900,9858,0,107,0,0,0,26,0,6,0,3,0,0,0,0,0,0,0
