parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000011001,1,0,365,63
000010010,1,0,63,0
000010001,2,0,346,63
000010101,3,0,361,64
000000000,9607,230,0,0
000110100,2,0,81,1
000000001,286,63,15,0
000011000,4,0,69,0
000011010,2,0,77,0
000111100,1,0,100,1
000001000,13,0,19,0
000100100,1,0,53,1
000010100,10,0,64,1
000001010,4,0,35,0
000100001,2,0,315,63
000100000,6,0,12,0
000110000,5,0,59,0
000011100,4,0,89,1
000000100,15,1,25,0
000000011,1,0,312,63
000000010,5,0,9,0
000001001,1,0,329,63
000000101,4,0,330,64
000101000,1,0,47,0
000011011,1,0,370,63
000010000,18,0,36,0
