update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,9999,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
200,9994,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0
300,9995,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
400,9996,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0
500,9997,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
600,9991,0,3,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0
700,9989,0,4,0,2,0,1,0,3,0,1,0,0,0,0,0,0,0
800,9987,0,4,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0
900,9984,0,4,0,2,0,0,0,8,0,2,0,0,0,0,0,0,0
1000,9991,0,4,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0
1100,9990,0,3,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0
1200,9991,0,2,0,3,0,1,0,2,0,1,0,0,0,0,0,0,0
1300,9989,0,1,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0
1400,9992,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0
1500,9994,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0
1600,9989,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0
1700,9990,0,1,0,0,0,4,0,2,0,3,0,0,0,0,0,0,0
1800,9985,0,6,0,2,0,2,0,5,0,0,0,0,0,0,0,0,0
1900,9985,0,7,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0
2000,9983,0,6,0,2,0,4,0,4,0,1,0,0,0,0,0,0,0
2100,9989,0,6,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0
2200,9990,0,3,0,1,0,1,0,4,0,1,0,0,0,0,0,0,0
2300,9987,0,6,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0
2400,9989,0,4,0,0,0,1,0,4,0,2,0,0,0,0,0,0,0
2500,9977,0,7,0,3,0,6,0,5,0,2,0,0,0,0,0,0,0
2600,9986,0,6,0,2,0,1,0,3,0,2,0,0,0,0,0,0,0
2700,9978,0,10,0,3,0,4,0,3,0,2,0,0,0,0,0,0,0
2800,9981,0,10,0,1,0,5,0,2,0,1,0,0,0,0,0,0,0
2900,9983,0,11,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0
3000,9976,0,7,0,3,0,4,0,6,0,3,0,1,0,0,0,0,0
3100,9975,0,13,0,3,0,1,0,6,0,2,0,0,0,0,0,0,0
3200,9982,0,6,0,4,0,7,0,0,0,1,0,0,0,0,0,0,0
3300,9981,0,11,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0
3400,9980,0,11,0,4,0,1,0,4,0,0,0,0,0,0,0,0,0
3500,9976,0,10,0,3,0,2,0,8,0,1,0,0,0,0,0,0,0
3600,9982,0,9,0,2,0,1,0,5,0,1,0,0,0,0,0,0,0
3700,9977,0,14,0,1,0,3,0,3,0,2,0,0,0,0,0,0,0
3800,9983,0,6,0,2,0,2,0,5,0,2,0,0,0,0,0,0,0
3900,9977,0,12,0,3,0,2,0,6,0,0,0,0,0,0,0,0,0
4000,9979,0,10,0,1,0,3,0,6,0,1,0,0,0,0,0,0,0
4100,9977,0,13,0,4,0,4,0,2,0,0,0,0,0,0,0,0,0
4200,9977,0,13,0,1,0,3,0,5,0,1,0,0,0,0,0,0,0
4300,9976,0,15,0,4,0,1,0,4,0,0,0,0,0,0,0,0,0
4400,9972,0,14,0,8,0,3,0,3,0,0,0,0,0,0,0,0,0
4500,9972,0,16,0,2,0,4,0,4,0,2,0,0,0,0,0,0,0
