parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
100000000,1,0,0,0
000010001,2,0,344,63
000011010,1,0,80,4
000011001,2,0,361,63
000000110,1,0,46,3
000010010,1,0,59,4
000001010,1,0,43,3
000110000,2,0,58,2
000011100,1,0,88,1
000100001,3,0,316,63
000100000,8,1,12,0
000000000,9610,227,0,0
000001011,1,0,334,64
000011000,5,0,66,1
000000100,11,0,22,0
000000011,4,1,309,63
000000010,5,2,10,1
000110010,1,0,71,5
000110001,1,0,354,64
000010000,20,1,28,0
000110100,4,0,75,2
000000001,280,61,23,1
000001100,1,0,61,0
000001000,15,0,17,0
000001101,1,0,351,62
000001001,4,0,323,62
000000101,5,0,325,62
000100100,1,0,47,1
000010100,8,0,60,1
