parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000010101,1,0,335,63
000010010,2,0,60,0
000001000,8,0,21,0
000111100,2,0,82,0
000000101,1,0,303,63
000001001,3,0,300,63
000100110,1,0,55,0
000000010,11,0,11,0
000000011,2,0,296,63
001000000,1,0,0,0
000000100,10,0,17,0
000000001,267,63,12,0
000001100,5,0,43,0
000110100,2,0,69,0
000100000,7,0,10,0
000011100,1,0,74,0
000001010,1,0,47,0
000010000,23,0,22,0
000100001,1,0,294,63
000000000,9635,210,0,0
000001011,1,0,319,63
000010001,2,0,318,63
000100010,1,0,35,0
000010110,1,0,77,0
000110110,1,0,85,0
000011001,1,0,333,63
000010100,2,0,60,0
000011000,4,0,59,0
000111000,2,0,71,0
000011010,1,0,77,0
