parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000110101,1,0,238,0
000010010,1,0,55,0
000011000,3,0,57,0
000010001,5,0,220,0
000000101,2,0,206,0
000001001,2,0,205,0
000000100,5,0,20,0
000000000,9745,0,0,0
000001011,1,0,213,0
000100100,2,0,33,0
000010100,10,0,46,0
000011010,3,0,65,0
000111000,2,0,67,0
000001000,8,0,16,0
000110000,1,0,53,0
000011100,1,0,68,0
000100001,2,0,196,0
000100000,5,0,10,0
000001010,2,0,31,0
000010000,16,0,29,0
000000011,2,0,196,0
000000010,6,0,9,0
000001100,2,0,44,0
000000001,171,0,15,0
000110100,2,0,61,0
