parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000011000,1,0,74,2
000101010,1,0,66,4
000010010,2,0,65,5
000011001,1,0,459,112
000110100,1,0,98,4
000001100,4,0,72,1
000000001,373,110,20,0
000011010,2,0,86,5
000001010,1,0,49,3
000100001,2,0,414,111
000011100,3,0,101,3
000100000,8,1,17,0
000110000,5,0,62,3
000001011,1,0,434,113
000000000,9500,269,0,0
000100100,1,0,71,2
000010100,10,0,74,3
000000100,21,1,31,0
000000011,3,0,406,113
000000010,10,3,10,0
000010000,19,2,32,0
000010101,1,0,464,113
000010001,2,0,437,112
000111100,3,0,111,4
000001000,11,0,24,0
000101000,4,0,48,1
000001001,2,0,421,110
000000101,7,0,429,111
000011101,1,0,481,113
