update,count,hosted_syms
0,10000,10000
100,10000,10000
200,10000,10000
300,10000,10000
400,10000,10000
500,10000,9974
600,10000,8157
700,10000,8186
800,10000,8186
900,10000,8183
1000,10000,8179
1100,10000,6755
1200,10000,6800
1300,10000,6800
1400,10000,6800
1500,10000,6798
1600,10000,5490
1700,10000,5704
1800,10000,5717
1900,10000,5720
2000,10000,5720
2100,10000,4663
2200,10000,4913
2300,10000,4954
2400,10000,4957
2500,10000,4953
2600,10000,4873
2700,10000,4227
2800,10000,4335
2900,10000,4364
3000,10000,4366
3100,10000,4355
3200,10000,3749
3300,10000,3889
3400,10000,3925
3500,10000,3934
3600,10000,3926
3700,10000,3295
3800,10000,3532
3900,10000,3603
4000,10000,3631
4100,10000,3645
4200,10000,3042
4300,10000,3223
4400,10000,3320
4500,10000,3367
4600,10000,3383
4700,10000,3322
4800,10000,2985
4900,10000,3133
5000,10000,3204
5100,10000,3226
5200,10000,3216
5300,10000,2779
5400,10000,2930
5500,10000,3005
5600,10000,3038
5700,10000,3045
5800,10000,2583
5900,10000,2741
6000,10000,2857
6100,10000,2908
6200,10000,2937
6300,10000,2542
6400,10000,2647
6500,10000,2741
6600,10000,2800
6700,10000,2836
6800,10000,2784
6900,10000,2556
7000,10000,2704
7100,10000,2770
7200,10000,2803
7300,10000,2801
7400,10000,2473
7500,10000,2653
7600,10000,2726
7700,10000,2753
7800,10000,2753
7900,10000,2399
8000,10000,2638
8100,10000,2720
8200,10000,2741
8300,10000,2735
8400,10000,2451
8500,10000,2626
8600,10000,2720
8700,10000,2744
8800,10000,2755
8900,10000,2716
9000,10000,2571
9100,10000,2682
9200,10000,2711
9300,10000,2705
9400,10000,2687
9500,10000,2522
9600,10000,2672
9700,10000,2692
9800,10000,2700
9900,10000,2710
10000,10000,2558
10100,10000,2661
10200,10000,2693
10300,10000,2704
10400,10000,2694
10500,10000,2680
10600,10000,2638
10700,10000,2660
10800,10000,2646
10900,10000,2654
11000,10000,2647
11100,10000,2575
11200,10000,2593
11300,10000,2580
11400,10000,2564
11500,10000,2548
11600,10000,2476
11700,10000,2472
11800,10000,2469
11900,10000,2443
12000,10000,2394
12100,10000,2353
12200,10000,2303
12300,10000,2259
12400,10000,2231
12500,10000,2186
12600,10000,2123
12700,10000,2065
12800,10000,2039
12900,10000,2021
13000,10000,2004
13100,10000,1988
13200,10000,1931
13300,10000,1900
13400,10000,1862
13500,10000,1829
13600,10000,1804
13700,10000,1750
13800,10000,1723
13900,10000,1701
14000,10000,1691
14100,10000,1673
14200,10000,1651
14300,10000,1625
14400,10000,1605
14500,10000,1597
14600,10000,1572
14700,10000,1552
14800,10000,1515
14900,10000,1498
15000,10000,1487
15100,10000,1463
15200,10000,1444
15300,10000,1423
15400,10000,1410
15500,10000,1386
15600,10000,1370
15700,10000,1347
15800,10000,1318
15900,10000,1309
16000,10000,1280
16100,10000,1253
16200,10000,1233
16300,10000,1226
16400,10000,1204
16500,10000,1187
16600,10000,1178
16700,10000,1167
16800,10000,1149
16900,10000,1127
17000,10000,1117
17100,10000,1119
17200,10000,1101
17300,10000,1098
17400,10000,1077
17500,10000,1068
17600,10000,1066
17700,10000,1055
17800,10000,1037
17900,10000,1032
18000,10000,1025
18100,10000,1009
18200,10000,1005
18300,10000,996
18400,10000,987
18500,10000,974
18600,10000,956
18700,10000,940
18800,10000,928
18900,10000,916
19000,10000,891
19100,10000,881
19200,10000,868
19300,10000,860
19400,10000,857
19500,10000,845
19600,10000,830
19700,10000,805
19800,10000,796
19900,10000,775
20000,10000,778
20100,10000,771
20200,10000,754
20300,10000,757
20400,10000,747
20500,10000,735
20600,10000,715
20700,10000,695
20800,10000,687
20900,10000,667
21000,10000,650
21100,10000,640
21200,10000,634
21300,10000,628
21400,10000,624
21500,10000,615
21600,10000,618
21700,10000,605
21800,10000,597
21900,10000,584
22000,10000,574
22100,10000,567
22200,10000,562
22300,10000,537
22400,10000,531
22500,10000,525
22600,10000,518
22700,10000,515
22800,10000,519
22900,10000,522
23000,10000,519
23100,10000,513
23200,10000,521
23300,10000,518
23400,10000,506
23500,10000,497
23600,10000,487
23700,10000,474
23800,10000,466
23900,10000,475
24000,10000,478
24100,10000,467
24200,10000,460
24300,10000,452
24400,10000,450
24500,10000,456
24600,10000,459
24700,10000,457
24800,10000,462
24900,10000,459
25000,10000,451
25100,10000,451
25200,10000,446
25300,10000,436
25400,10000,432
25500,10000,436
25600,10000,435
25700,10000,443
25800,10000,442
25900,10000,435
26000,10000,427
26100,10000,416
26200,10000,411
26300,10000,410
26400,10000,398
26500,10000,396
26600,10000,401
26700,10000,401
26800,10000,390
26900,10000,384
27000,10000,377
27100,10000,375
27200,10000,377
27300,10000,375
27400,10000,367
27500,10000,367
27600,10000,369
27700,10000,366
27800,10000,366
