parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000101001,1,0,362,64
000000110,1,0,86,1
000010110,1,0,124,1
000000011,1,0,331,64
000101111,1,0,410,65
000000101,3,0,344,65
000111010,1,0,137,0
000001011,2,0,362,64
000100010,1,0,65,0
000010001,5,0,349,64
000010101,5,0,377,65
000001000,16,0,31,0
000110100,4,0,112,1
000000001,272,64,32,0
000000010,20,0,14,0
000110001,1,0,372,64
000011011,1,0,397,64
000101000,1,0,75,0
000011000,5,0,92,0
000110000,4,0,85,0
000001010,1,0,74,0
000100000,12,0,24,0
000011100,5,0,121,1
000010000,22,0,44,0
000100001,1,0,332,64
000100100,4,0,75,1
000111100,1,0,139,1
000101100,1,0,109,1
000000000,9565,238,0,0
000010010,3,0,91,0
001000000,2,0,1,0
000000100,19,1,38,0
000001001,5,0,333,64
000011001,1,0,375,64
000111101,1,0,412,65
000011101,1,0,399,65
000001100,3,0,88,1
001000101,1,0,348,65
000010100,4,0,96,1
000110101,1,0,395,65
000100111,1,0,389,65
