update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,9997,38359,0,0,2,4,0,1,2,0,1,2,0,0,0,0,0,0
200,9995,33275,0,3,2,5,0,2,1,6,2,1,0,0,0,0,0,0
300,9993,33264,0,9,3,8,1,6,3,8,0,1,0,0,0,0,0,0
400,9995,33138,0,5,1,3,1,0,3,5,0,3,0,0,0,0,0,0
500,9994,33171,0,5,1,7,1,2,3,5,1,4,0,0,0,0,0,0
600,9992,28137,0,2,1,9,0,4,5,6,2,2,0,0,0,0,0,0
700,9991,25903,0,3,1,1,4,0,2,7,2,1,0,0,0,0,0,0
800,9985,25946,0,10,4,4,2,4,8,3,1,2,0,0,0,0,0,0
900,9994,25967,1,3,1,9,1,3,3,8,0,2,0,0,0,0,0,0
1000,9997,25917,0,7,2,4,0,5,1,6,0,2,0,0,0,0,0,0
1100,9995,23256,0,2,3,2,0,3,1,1,1,1,0,0,0,0,0,0
1200,9993,20449,0,6,1,2,4,6,2,5,0,3,0,0,0,0,0,0
1300,9994,20412,0,7,1,2,2,2,2,4,1,1,0,0,0,0,0,0
1400,9994,20367,0,7,2,5,1,1,2,8,1,1,0,0,0,0,0,0
1500,9987,20477,2,11,2,8,3,1,5,2,1,1,0,0,0,0,0,0
1600,9992,19395,1,1,1,2,3,3,1,2,2,3,0,0,0,0,0,0
1700,9981,16154,12,2,1,2,1,0,4,2,1,0,0,0,0,0,0,0
1800,9985,16052,10,3,2,3,1,2,2,5,0,2,0,0,0,0,0,0
1900,9980,16006,12,10,0,5,1,2,6,2,1,1,0,0,0,0,0,0
2000,9981,15985,14,5,1,3,1,1,3,1,0,0,0,0,0,0,0,0
2100,9978,16008,13,5,2,3,3,1,3,1,1,1,0,0,0,0,0,0
2200,9986,12984,5,3,3,5,3,1,2,2,1,1,0,0,0,0,0,0
2300,9985,12906,8,5,1,1,0,1,5,4,1,2,0,0,0,0,0,0
2400,9983,12694,7,3,2,1,3,1,5,2,0,0,0,0,0,0,0,0
2500,9988,12829,7,9,0,5,3,1,1,0,1,2,0,0,0,0,0,0
2600,9984,12700,6,4,3,4,2,0,3,2,2,1,0,0,0,0,0,0
2700,9981,10834,7,3,6,1,2,1,3,1,1,0,0,0,0,0,0,0
2800,9977,10405,12,3,2,4,4,0,4,3,1,1,0,0,0,0,0,0
2900,9978,10431,11,1,1,4,8,3,2,4,0,1,0,0,0,0,0,0
3000,9977,10657,12,1,2,1,4,0,3,2,2,1,0,0,0,0,0,0
3100,9971,10409,14,4,3,3,5,0,6,1,1,0,0,0,0,0,0,0
3200,9983,9369,7,4,4,1,5,2,1,1,0,1,0,0,0,0,0,0
3300,9987,8513,7,1,1,1,3,0,2,5,0,0,0,0,0,0,0,0
3400,9977,8505,6,7,3,0,6,0,8,0,0,0,0,0,0,0,0,0
3500,9984,8677,4,13,2,2,6,2,4,0,0,0,0,0,0,0,0,0
3600,9980,8683,5,1,3,1,7,3,1,0,3,1,1,0,0,0,0,0
3700,9978,8179,9,2,2,0,4,1,3,1,4,0,0,0,0,0,0,0
3800,9969,7112,17,6,3,4,5,0,6,4,0,1,0,0,0,0,0,0
3900,9970,7212,18,10,3,4,7,1,2,0,0,0,0,0,0,0,0,0
4000,9967,7272,23,5,1,1,4,1,5,1,0,1,0,0,0,0,0,0
4100,9965,7247,18,10,2,2,7,0,6,0,2,0,0,0,0,0,0,0
4200,9970,7208,22,13,2,1,4,0,2,1,0,0,0,0,0,0,0,0
4300,9964,6078,20,5,3,1,9,0,3,1,1,0,0,0,0,0,0,0
4400,9959,6239,21,11,2,1,10,1,7,1,1,0,0,0,0,0,0,0
4500,9969,6396,19,15,0,1,6,1,2,3,4,0,0,0,0,0,0,0
4600,9969,6417,18,13,2,1,6,0,4,2,1,1,0,0,0,0,0,0
4700,9970,6339,19,10,2,2,4,0,4,1,1,1,0,0,0,0,0,0
4800,9967,5741,22,12,1,0,6,0,3,0,1,1,0,0,0,0,0,0
4900,9961,5640,26,6,2,1,5,0,3,0,3,1,0,0,0,0,0,0
5000,9961,5818,25,8,1,1,9,1,4,0,0,0,0,0,0,0,0,0
5100,9960,5815,28,7,3,1,7,3,1,0,1,0,0,0,0,0,0,0
5200,9962,5875,28,8,0,0,6,3,2,3,2,0,0,0,0,0,0,0
