parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000100100,1,0,50,1
000010001,3,0,266,52
000010101,4,0,282,52
000001000,11,1,19,0
000111100,3,0,90,2
000100010,1,0,38,1
000010100,8,1,61,0
000000001,212,51,15,0
000110100,2,0,76,1
000001100,1,0,62,2
000011010,3,0,79,3
000000010,12,1,10,0
000000011,1,0,246,52
000000100,14,0,26,1
000001011,1,0,269,53
000000000,9682,163,0,0
000001001,1,0,254,52
000000101,2,0,258,52
000100000,4,0,15,0
000110000,1,0,60,1
000001010,2,0,44,2
000011100,3,0,83,2
000010000,18,0,31,1
000100001,2,0,241,51
000111000,1,0,76,2
000101000,2,0,41,1
000011000,2,0,65,2
000100101,1,0,268,52
000010010,1,0,66,2
000100110,1,0,70,2
