parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000110100,3,0,95,7
000100101,1,0,333,42
000011100,2,0,101,6
000001000,12,0,24,0
000000010,15,0,13,0
000000011,3,0,299,39
000000100,20,2,23,0
001000000,1,1,0,0
000010100,3,0,79,6
000100100,4,0,61,3
000001010,2,0,57,0
000100000,7,1,26,0
000010000,23,4,30,0
000100001,3,0,304,40
000110000,4,0,71,5
000000001,263,39,15,0
000001100,1,0,70,2
000001001,1,0,310,39
000000101,2,0,313,41
000001011,1,0,330,39
000000000,9604,224,0,0
000100010,1,0,59,1
000011010,1,0,94,4
000011000,4,0,72,4
000101000,5,0,54,1
000111000,2,0,90,5
000010001,1,0,326,43
000010101,2,0,351,45
000011101,1,0,371,45
000011110,1,0,121,6
000010010,4,0,71,4
000111100,2,0,112,7
000101100,1,0,85,3
