parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000010010,1,0,67,0
000000110,1,0,62,0
000010001,5,0,283,0
000111001,1,0,311,0
000101001,1,0,292,0
000000000,9660,0,0,0
000001101,1,0,300,0
000000101,1,0,282,0
000001001,4,0,280,0
000011100,3,0,72,0
000001010,3,0,60,0
000100000,6,0,7,0
000110100,1,0,64,0
000001100,4,0,50,0
000000001,234,0,23,0
000011000,2,0,58,0
000011010,4,0,83,0
000000111,1,0,307,0
000010000,15,0,22,0
000100100,2,0,36,0
000010100,3,0,55,0
000000100,10,0,20,0
000000011,8,0,275,0
000000010,17,0,19,0
000001111,1,0,318,0
000001000,9,0,26,0
000111100,2,0,79,0
