parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000110101,1,0,393,52
000100110,1,0,83,3
000010010,1,0,86,1
000001001,1,0,345,50
000101000,2,0,60,1
000000101,3,0,339,51
000110100,1,0,104,2
000001100,1,0,83,1
000000001,285,50,17,0
000100101,1,0,357,52
000011000,5,0,91,0
000001011,1,0,361,51
000000000,9568,247,0,0
000001010,2,0,63,1
000011100,5,0,118,1
000110000,3,0,75,1
000100000,8,1,15,0
000000011,2,0,319,51
000000010,14,1,9,0
000000100,22,1,25,0
000010101,1,0,383,51
000010001,6,0,354,50
000010100,7,0,88,1
000011010,1,0,112,1
000111000,3,0,103,1
000010000,29,0,37,0
000001111,1,0,391,52
000001000,22,0,25,0
000111100,3,0,128,2
