parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000010011,1,0,402,0
000011101,1,0,412,0
000011001,1,0,398,0
000010101,1,0,393,0
000111010,1,0,120,0
000100110,1,0,88,0
000010010,6,0,80,0
000000110,1,0,68,0
000011010,1,0,105,0
000010100,3,0,74,0
000100100,2,0,52,0
000011000,1,0,81,0
000111000,2,0,97,0
000101000,1,0,59,0
000001001,2,0,358,0
000000101,4,0,351,0
000001101,2,0,377,0
000000010,17,0,22,0
000000011,4,0,359,0
000001000,14,0,23,0
000111100,2,0,112,0
000110000,4,0,70,0
000010000,24,0,32,0
000100001,1,0,358,0
000011100,2,0,98,0
000100000,12,0,17,0
000001010,4,0,64,0
000000001,308,0,23,0
000110100,2,0,90,0
000001100,1,0,60,0
000000000,9557,0,0,0
000001011,2,0,384,0
000000100,10,0,22,0
000100010,1,0,64,0
000010001,4,0,375,0
