parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000100010,1,0,30,0
000010100,3,0,49,0
000010001,2,0,221,0
000011001,1,0,236,0
000111010,1,0,68,0
000001100,3,0,39,0
000000001,179,0,13,0
000000000,9741,0,0,0
000001011,1,0,219,0
000001010,2,0,34,0
000110000,3,0,43,0
000100000,8,0,9,0
000110010,1,0,55,0
000010000,15,0,21,0
000110101,1,0,244,0
000011010,3,0,57,0
000010011,1,0,228,0
000000100,10,0,11,0
000111100,1,0,72,0
000001000,9,0,17,0
000000101,1,0,208,0
000001101,1,0,227,0
000011000,4,0,48,0
000100101,1,0,222,0
000000010,3,0,14,0
000000011,4,0,199,0
