update,attempts_horiztrans,successes_horiztrans,attempts_verttrans,successes_verttrans
0,0,0,0,0
100,9261,8720,0,0
200,15176,14349,0,0
300,15096,14278,0,0
400,15082,14246,0,0
500,15087,14236,0,0
600,12113,11165,0,0
700,11594,10953,0,0
800,11554,10891,0,0
900,11592,10918,0,0
1000,11575,10950,0,0
1100,10365,9772,0,0
1200,8910,8428,0,0
1300,8878,8393,0,0
1400,8848,8338,0,0
1500,8843,8373,0,0
1600,8000,7399,0,0
1700,7040,6649,0,0
1800,6817,6426,0,0
1900,6814,6425,0,0
2000,6840,6443,0,0
2100,6752,6379,0,0
2200,5437,5155,0,0
2300,5296,5016,0,0
2400,5313,5015,0,0
2500,5325,5036,0,0
2600,5321,4975,0,0
2700,4361,4049,0,0
2800,4313,4072,0,0
2900,4253,4020,0,0
3000,4277,4040,0,0
3100,4257,4021,0,0
3200,3791,3594,0,0
3300,3487,3291,0,0
3400,3522,3347,0,0
3500,3506,3304,0,0
3600,3512,3329,0,0
3700,3252,3047,0,0
3800,2940,2781,0,0
3900,2966,2816,0,0
4000,2940,2785,0,0
4100,2937,2804,0,0
4200,2898,2732,0,0
4300,2479,2342,0,0
4400,2483,2339,0,0
4500,2510,2381,0,0
4600,2542,2411,0,0
4700,2515,2374,0,0
4800,2113,1985,0,0
4900,2200,2075,0,0
5000,2244,2110,0,0
5100,2334,2197,0,0
5200,2379,2255,0,0
5300,2131,1985,0,0
5400,2096,1969,0,0
5500,2239,2126,0,0
5600,2284,2151,0,0
5700,2408,2276,0,0
5800,2400,2258,0,0
5900,2507,2365,0,0
6000,2951,2757,0,0
6100,3026,2816,0,0
6200,3110,2915,0,0
6300,3754,3500,0,0
6400,3343,3069,0,0
6500,3434,3154,0,0
6600,3928,3652,0,0
6700,4034,3745,0,0
6800,3950,3600,0,0
6900,3866,3475,0,0
7000,4128,3696,0,0
7100,4128,3716,0,0
7200,4408,3978,0,0
7300,4559,4067,0,0
7400,4594,4155,0,0
7500,4301,3942,0,0
7600,4512,4147,0,0
7700,4660,4320,0,0
7800,4596,4210,0,0
7900,4385,3964,0,0
8000,4429,3991,0,0
8100,4587,4179,0,0
8200,5224,4758,0,0
8300,5554,5089,0,0
8400,5762,5265,0,0
8500,5821,5238,0,0
8600,5609,5129,0,0
8700,5653,5174,0,0
8800,5632,5100,0,0
8900,5941,5461,0,0
9000,5391,4929,0,0
9100,5763,5327,0,0
9200,6082,5582,0,0
9300,6050,5514,0,0
9400,5404,4928,0,0
9500,5492,4942,0,0
9600,5635,5184,0,0
9700,5894,5432,0,0
9800,6278,5796,0,0
9900,6344,5841,0,0
10000,6265,5812,0,0
10100,6054,5605,0,0
10200,6500,5987,0,0
10300,6487,6004,0,0
10400,6666,6168,0,0
10500,6532,6041,0,0
10600,5908,5466,0,0
10700,5787,5325,0,0
10800,6195,5729,0,0
10900,6100,5581,0,0
11000,6571,5997,0,0
11100,6808,6131,0,0
11200,6801,6130,0,0
11300,6837,6062,0,0
11400,6603,5884,0,0
11500,7017,6355,0,0
11600,7241,6524,0,0
11700,6763,6129,0,0
11800,6897,6206,0,0
11900,7390,6639,0,0
12000,6888,6151,0,0
12100,7027,6282,0,0
12200,6863,6119,0,0
12300,7289,6518,0,0
12400,7472,6675,0,0
12500,6790,6030,0,0
12600,6555,5838,0,0
12700,6428,5688,0,0
12800,6341,5528,0,0
12900,6295,5485,0,0
13000,6159,5387,0,0
13100,5932,5173,0,0
13200,5554,4743,0,0
13300,5372,4588,0,0
13400,5596,4857,0,0
13500,5927,4983,0,0
13600,5611,4794,0,0
13700,5741,4840,0,0
13800,5387,4459,0,0
13900,5540,4541,0,0
14000,5242,4279,0,0
14100,5440,4480,0,0
14200,5292,4327,0,0
14300,5499,4455,0,0
14400,5543,4517,0,0
14500,5783,4610,0,0
14600,5470,4363,0,0
14700,5176,4046,0,0
14800,5011,3987,0,0
14900,4782,3765,0,0
15000,4962,3949,0,0
15100,4508,3472,0,0
15200,4331,3310,0,0
15300,4345,3384,0,0
15400,4506,3479,0,0
15500,4318,3288,0,0
15600,4170,3100,0,0
15700,4175,3091,0,0
15800,4236,3132,0,0
15900,4055,2977,0,0
16000,4320,3061,0,0
16100,3925,2738,0,0
16200,3788,2673,0,0
16300,3416,2337,0,0
16400,3767,2570,0,0
16500,3871,2595,0,0
16600,4024,2741,0,0
16700,3751,2508,0,0
16800,3841,2445,0,0
16900,3674,2341,0,0
17000,3756,2406,0,0
17100,3791,2383,0,0
17200,3537,2222,0,0
17300,3147,1945,0,0
17400,3591,2237,0,0
17500,3323,2100,0,0
17600,3192,1945,0,0
17700,2992,1835,0,0
17800,3063,1947,0,0
17900,3097,1946,0,0
18000,3084,1856,0,0
18100,2984,1788,0,0
18200,3373,2097,0,0
18300,3420,2047,0,0
18400,3198,1923,0,0
18500,2863,1705,0,0
18600,2959,1746,0,0
18700,2965,1727,0,0
18800,3028,1762,0,0
18900,2881,1642,0,0
19000,2755,1567,0,0
19100,2562,1454,0,0
19200,2759,1515,0,0
19300,2857,1565,0,0
19400,2868,1525,0,0
19500,2568,1388,0,0
19600,2344,1231,0,0
19700,2115,1103,0,0
19800,2534,1329,0,0
19900,2471,1344,0,0
20000,2446,1277,0,0
20100,2187,1181,0,0
20200,2428,1276,0,0
20300,2356,1230,0,0
20400,2494,1314,0,0
20500,2361,1263,0,0
20600,2322,1200,0,0
20700,2029,1046,0,0
20800,2059,1049,0,0
20900,2048,1056,0,0
21000,2001,1042,0,0
21100,2052,1101,0,0
21200,2150,1117,0,0
21300,1964,1016,0,0
21400,1857,919,0,0
21500,1869,941,0,0
21600,1896,927,0,0
21700,1764,904,0,0
21800,1913,978,0,0
21900,1911,968,0,0
22000,1861,931,0,0
22100,1712,797,0,0
22200,1578,743,0,0
22300,1869,913,0,0
22400,2073,970,0,0
22500,2059,954,0,0
22600,2019,926,0,0
22700,1913,898,0,0
22800,1752,834,0,0
22900,1672,803,0,0
23000,1765,863,0,0
23100,1848,877,0,0
23200,1555,719,0,0
23300,1414,625,0,0
23400,1719,765,0,0
23500,1929,827,0,0
23600,1976,875,0,0
23700,1829,819,0,0
23800,1588,696,0,0
23900,1516,617,0,0
24000,1477,627,0,0
24100,1588,642,0,0
24200,1529,653,0,0
24300,1389,587,0,0
24400,1540,643,0,0
24500,1599,628,0,0
24600,1643,647,0,0
24700,1528,611,0,0
24800,1422,556,0,0
24900,1438,580,0,0
25000,1430,569,0,0
25100,1341,525,0,0
25200,1462,528,0,0
25300,1472,557,0,0
25400,1321,489,0,0
25500,1277,484,0,0
25600,1363,480,0,0
25700,1265,479,0,0
25800,1293,477,0,0
25900,1305,445,0,0
26000,1272,459,0,0
26100,1145,449,0,0
26200,1190,437,0,0
26300,1202,456,0,0
26400,1135,425,0,0
26500,1173,434,0,0
26600,1128,469,0,0
26700,1185,443,0,0
26800,1123,442,0,0
26900,974,360,0,0
27000,918,353,0,0
27100,994,405,0,0
27200,1118,433,0,0
27300,1013,377,0,0
27400,996,370,0,0
27500,1032,352,0,0
27600,1005,330,0,0
27700,1249,470,0,0
27800,1241,440,0,0
27900,1110,411,0,0
28000,1219,459,0,0
28100,1272,459,0,0
28200,1076,406,0,0
28300,1086,415,0,0
28400,1059,399,0,0
28500,1115,439,0,0
28600,1236,421,0,0
28700,1328,475,0,0
28800,1201,472,0,0
28900,1250,470,0,0
29000,1180,438,0,0
29100,1063,399,0,0
29200,802,306,0,0
29300,754,299,0,0
29400,849,318,0,0
29500,1113,380,0,0
29600,1129,438,0,0
29700,1065,383,0,0
29800,1119,392,0,0
29900,997,373,0,0
30000,1093,390,0,0
30100,1104,385,0,0
30200,1055,366,0,0
30300,1075,387,0,0
30400,1027,375,0,0
30500,951,380,0,0
30600,936,338,0,0
30700,959,363,0,0
30800,999,368,0,0
30900,924,365,0,0
31000,1009,389,0,0
31100,985,375,0,0
31200,1025,389,0,0
31300,978,353,0,0
31400,998,361,0,0
31500,1139,425,0,0
31600,1125,454,0,0
31700,1205,455,0,0
31800,1164,481,0,0
31900,942,367,0,0
32000,1023,418,0,0
32100,1075,399,0,0
32200,964,398,0,0
32300,884,367,0,0
32400,914,364,0,0
32500,976,350,0,0
32600,1121,419,0,0
32700,1167,453,0,0
32800,1230,461,0,0
32900,1309,462,0,0
33000,1186,433,0,0
33100,1139,434,0,0
33200,1098,434,0,0
33300,1114,393,0,0
33400,1013,365,0,0
33500,1024,356,0,0
33600,1055,376,0,0
33700,1008,349,0,0
33800,845,272,0,0
33900,786,294,0,0
34000,863,325,0,0
34100,1042,344,0,0
34200,1034,362,0,0
34300,1005,351,0,0
34400,892,313,0,0
34500,822,277,0,0
34600,844,306,0,0
34700,869,303,0,0
34800,854,274,0,0
34900,809,300,0,0
35000,964,337,0,0
35100,923,302,0,0
35200,937,337,0,0
35300,903,347,0,0
35400,970,332,0,0
35500,885,316,0,0
35600,1034,361,0,0
35700,1007,347,0,0
35800,768,275,0,0
35900,850,271,0,0
36000,901,300,0,0
36100,908,322,0,0
36200,1006,364,0,0
36300,1175,417,0,0
36400,1210,411,0,0
36500,1270,431,0,0
36600,1097,362,0,0
36700,944,303,0,0
36800,952,308,0,0
36900,1081,384,0,0
37000,1053,391,0,0
37100,1098,397,0,0
37200,1051,337,0,0
37300,1087,359,0,0
37400,1156,383,0,0
37500,1021,341,0,0
37600,823,281,0,0
37700,785,265,0,0
37800,954,315,0,0
37900,831,257,0,0
38000,924,339,0,0
38100,967,318,0,0
38200,886,301,0,0
38300,813,243,0,0
38400,756,231,0,0
38500,703,229,0,0
38600,683,196,0,0
38700,727,229,0,0
38800,772,267,0,0
38900,848,262,0,0
39000,817,246,0,0
39100,794,247,0,0
39200,736,229,0,0
39300,654,237,0,0
39400,717,237,0,0
39500,783,294,0,0
39600,884,298,0,0
39700,1000,331,0,0
39800,1127,356,0,0
39900,920,316,0,0
40000,746,247,0,0
40100,701,242,0,0
40200,767,264,0,0
40300,859,287,0,0
40400,800,274,0,0
40500,883,283,0,0
40600,824,271,0,0
40700,720,222,0,0
40800,772,249,0,0
40900,853,269,0,0
41000,799,245,0,0
41100,700,222,0,0
41200,601,190,0,0
41300,593,195,0,0
41400,646,201,0,0
41500,778,242,0,0
41600,805,263,0,0
41700,785,221,0,0
41800,793,236,0,0
41900,880,282,0,0
42000,890,270,0,0
42100,951,330,0,0
42200,976,294,0,0
42300,895,265,0,0
42400,889,243,0,0
42500,907,263,0,0
42600,843,263,0,0
42700,878,249,0,0
42800,870,261,0,0
42900,780,223,0,0
43000,830,243,0,0
43100,885,275,0,0
43200,842,249,0,0
43300,807,232,0,0
43400,770,257,0,0
43500,757,241,0,0
43600,958,289,0,0
43700,878,266,0,0
43800,762,199,0,0
43900,854,251,0,0
44000,850,242,0,0
44100,766,230,0,0
44200,774,232,0,0
44300,812,222,0,0
44400,646,197,0,0
44500,610,197,0,0
44600,772,248,0,0
44700,716,185,0,0
44800,753,231,0,0
44900,833,275,0,0
45000,992,303,0,0
45100,1146,358,0,0
45200,930,289,0,0
45300,721,239,0,0
45400,695,216,0,0
45500,811,253,0,0
45600,1090,360,0,0
45700,1130,372,0,0
45800,1101,352,0,0
45900,1005,345,0,0
46000,920,281,0,0
46100,916,295,0,0
46200,950,319,0,0
46300,1019,330,0,0
46400,925,314,0,0
46500,748,261,0,0
46600,634,220,0,0
46700,845,272,0,0
46800,996,343,0,0
46900,906,263,0,0
47000,886,259,0,0
47100,901,294,0,0
47200,976,278,0,0
47300,959,324,0,0
47400,826,275,0,0
47500,964,304,0,0
47600,811,264,0,0
47700,820,260,0,0
47800,875,289,0,0
47900,874,275,0,0
48000,813,265,0,0
48100,1024,320,0,0
48200,1189,377,0,0
48300,1041,330,0,0
48400,1002,309,0,0
48500,853,297,0,0
48600,908,261,0,0
48700,812,270,0,0
48800,620,179,0,0
48900,588,179,0,0
49000,646,181,0,0
49100,679,224,0,0
49200,792,259,0,0
49300,786,262,0,0
49400,703,232,0,0
49500,549,160,0,0
49600,487,148,0,0
49700,504,161,0,0
49800,540,159,0,0
49900,577,185,0,0
50000,658,221,0,0
50100,751,272,0,0
50200,821,270,0,0
50300,709,229,0,0
50400,668,222,0,0
50500,642,201,0,0
50600,630,216,0,0
50700,593,183,0,0
50800,459,155,0,0
50900,516,175,0,0
51000,613,194,0,0
51100,848,273,0,0
51200,975,305,0,0
51300,875,296,0,0
51400,957,296,0,0
51500,792,275,0,0
51600,911,290,0,0
51700,1102,371,0,0
51800,1058,370,0,0
51900,1088,326,0,0
52000,1074,357,0,0
52100,954,300,0,0
52200,1002,343,0,0
52300,886,286,0,0
52400,952,286,0,0
52500,957,335,0,0
52600,973,315,0,0
52700,1036,365,0,0
52800,1024,349,0,0
52900,1020,368,0,0
53000,1037,354,0,0
53100,1018,363,0,0
53200,896,324,0,0
53300,892,338,0,0
53400,927,322,0,0
53500,1055,356,0,0
53600,1030,345,0,0
53700,992,340,0,0
53800,922,302,0,0
53900,863,287,0,0
54000,869,273,0,0
54100,790,249,0,0
54200,767,250,0,0
54300,729,244,0,0
54400,638,188,0,0
54500,650,230,0,0
54600,766,272,0,0
54700,885,275,0,0
54800,787,244,0,0
54900,770,233,0,0
55000,804,244,0,0
55100,700,243,0,0
55200,805,233,0,0
55300,814,267,0,0
55400,679,197,0,0
55500,680,252,0,0
55600,803,269,0,0
55700,919,307,0,0
55800,879,302,0,0
55900,808,254,0,0
56000,819,291,0,0
56100,772,252,0,0
56200,618,220,0,0
56300,714,237,0,0
56400,893,318,0,0
56500,984,334,0,0
56600,865,284,0,0
56700,868,313,0,0
56800,995,318,0,0
56900,1001,359,0,0
57000,1024,344,0,0
57100,837,295,0,0
57200,771,260,0,0
57300,817,259,0,0
57400,768,270,0,0
57500,732,232,0,0
57600,733,244,0,0
57700,856,294,0,0
57800,832,292,0,0
57900,775,251,0,0
58000,806,261,0,0
58100,768,248,0,0
58200,753,279,0,0
58300,778,266,0,0
58400,852,277,0,0
58500,990,342,0,0
58600,794,255,0,0
58700,855,272,0,0
58800,871,274,0,0
58900,702,216,0,0
59000,614,224,0,0
59100,687,233,0,0
59200,741,246,0,0
59300,821,266,0,0
59400,875,292,0,0
59500,913,316,0,0
59600,703,218,0,0
59700,596,205,0,0
59800,593,197,0,0
59900,568,189,0,0
60000,488,160,0,0
60100,361,110,0,0
60200,444,150,0,0
60300,526,156,0,0
60400,558,171,0,0
60500,612,187,0,0
60600,595,188,0,0
60700,596,198,0,0
60800,595,192,0,0
60900,588,197,0,0
61000,712,223,0,0
61100,649,210,0,0
61200,723,203,0,0
61300,762,230,0,0
61400,755,260,0,0
61500,780,228,0,0
61600,738,236,0,0
61700,810,264,0,0
61800,750,221,0,0
61900,711,227,0,0
62000,728,242,0,0
62100,762,240,0,0
62200,765,252,0,0
62300,813,273,0,0
62400,814,244,0,0
62500,783,258,0,0
62600,802,246,0,0
62700,652,209,0,0
62800,670,187,0,0
62900,607,179,0,0
63000,562,165,0,0
63100,569,149,0,0
63200,505,145,0,0
63300,516,165,0,0
63400,524,156,0,0
63500,597,181,0,0
63600,664,213,0,0
63700,706,236,0,0
63800,689,193,0,0
63900,576,182,0,0
64000,641,193,0,0
64100,675,234,0,0
64200,702,220,0,0
64300,759,279,0,0
64400,732,218,0,0
64500,744,258,0,0
64600,684,250,0,0
64700,695,233,0,0
64800,758,228,0,0
64900,743,248,0,0
65000,809,279,0,0
65100,833,270,0,0
65200,921,288,0,0
65300,985,321,0,0
65400,1013,322,0,0
65500,886,298,0,0
65600,837,276,0,0
65700,801,245,0,0
65800,859,279,0,0
65900,819,251,0,0
66000,934,272,0,0
66100,853,285,0,0
66200,747,246,0,0
66300,727,270,0,0
66400,836,269,0,0
66500,766,248,0,0
66600,796,270,0,0
66700,897,285,0,0
66800,891,308,0,0
66900,851,289,0,0
67000,844,264,0,0
67100,786,250,0,0
67200,779,258,0,0
67300,732,214,0,0
67400,841,265,0,0
67500,780,274,0,0
67600,913,292,0,0
67700,851,286,0,0
67800,756,249,0,0
67900,869,292,0,0
68000,860,270,0,0
68100,797,266,0,0
68200,685,253,0,0
68300,804,246,0,0
68400,813,270,0,0
68500,846,315,0,0
68600,801,270,0,0
68700,879,301,0,0
68800,942,338,0,0
68900,885,308,0,0
69000,887,323,0,0
69100,836,297,0,0
69200,944,335,0,0
69300,877,297,0,0
69400,849,301,0,0
69500,952,323,0,0
69600,996,332,0,0
69700,943,327,0,0
69800,1038,360,0,0
69900,1024,346,0,0
