update,count,hosted_syms
0,10000,10000
100,10000,10000
200,10000,10000
300,10000,10000
400,10000,10000
500,10000,9972
600,10000,8169
700,10000,8186
800,10000,8186
900,10000,8186
1000,10000,8184
1100,10000,6749
1200,10000,6784
1300,10000,6788
1400,10000,6788
1500,10000,6785
1600,10000,5525
1700,10000,5739
1800,10000,5752
1900,10000,5753
2000,10000,5755
2100,10000,4640
2200,10000,4878
2300,10000,4925
2400,10000,4926
2500,10000,4928
2600,10000,4854
2700,10000,4215
2800,10000,4323
2900,10000,4340
3000,10000,4342
3100,10000,4342
3200,10000,3706
3300,10000,3826
3400,10000,3867
3500,10000,3879
3600,10000,3879
3700,10000,3230
3800,10000,3470
3900,10000,3541
4000,10000,3560
4100,10000,3566
4200,10000,2948
4300,10000,3166
4400,10000,3256
4500,10000,3308
4600,10000,3315
4700,10000,3265
4800,10000,2868
4900,10000,3024
5000,10000,3093
5100,10000,3125
5200,10000,3120
5300,10000,2703
5400,10000,2874
5500,10000,2954
5600,10000,2991
5700,10000,2998
5800,10000,2534
5900,10000,2684
6000,10000,2796
6100,10000,2849
6200,10000,2876
6300,10000,2483
6400,10000,2585
6500,10000,2695
6600,10000,2767
6700,10000,2805
6800,10000,2783
6900,10000,2634
7000,10000,2754
7100,10000,2788
7200,10000,2784
7300,10000,2787
7400,10000,2573
7500,10000,2710
7600,10000,2735
7700,10000,2733
7800,10000,2734
7900,10000,2493
8000,10000,2634
8100,10000,2682
8200,10000,2688
8300,10000,2707
8400,10000,2693
8500,10000,2673
8600,10000,2697
8700,10000,2720
8800,10000,2708
8900,10000,2702
9000,10000,2687
9100,10000,2674
9200,10000,2672
9300,10000,2659
9400,10000,2635
9500,10000,2574
9600,10000,2589
9700,10000,2562
9800,10000,2520
9900,10000,2500
10000,10000,2428
10100,10000,2367
10200,10000,2360
10300,10000,2323
10400,10000,2300
10500,10000,2264
10600,10000,2235
10700,10000,2207
10800,10000,2182
10900,10000,2143
11000,10000,2115
11100,10000,2086
11200,10000,2070
11300,10000,2027
11400,10000,1984
11500,10000,1944
11600,10000,1905
11700,10000,1892
11800,10000,1858
11900,10000,1825
12000,10000,1785
12100,10000,1752
12200,10000,1717
12300,10000,1672
12400,10000,1651
12500,10000,1645
12600,10000,1603
12700,10000,1577
12800,10000,1563
12900,10000,1541
13000,10000,1497
13100,10000,1463
13200,10000,1424
13300,10000,1422
13400,10000,1405
13500,10000,1383
13600,10000,1363
13700,10000,1339
13800,10000,1302
13900,10000,1290
14000,10000,1284
14100,10000,1268
14200,10000,1247
14300,10000,1217
14400,10000,1187
14500,10000,1170
14600,10000,1146
14700,10000,1119
14800,10000,1099
14900,10000,1084
15000,10000,1092
15100,10000,1091
15200,10000,1075
15300,10000,1061
15400,10000,1031
15500,10000,1034
15600,10000,1035
15700,10000,1032
15800,10000,1014
15900,10000,1029
16000,10000,1037
16100,10000,1025
16200,10000,1013
16300,10000,1007
16400,10000,979
16500,10000,968
16600,10000,959
16700,10000,954
16800,10000,935
16900,10000,918
17000,10000,917
17100,10000,919
17200,10000,902
17300,10000,913
17400,10000,915
17500,10000,897
17600,10000,888
17700,10000,884
17800,10000,881
17900,10000,862
18000,10000,857
18100,10000,853
18200,10000,865
18300,10000,848
18400,10000,834
18500,10000,836
18600,10000,834
18700,10000,835
18800,10000,832
18900,10000,833
19000,10000,816
19100,10000,817
19200,10000,807
19300,10000,819
19400,10000,812
19500,10000,800
19600,10000,794
19700,10000,780
19800,10000,771
19900,10000,770
20000,10000,765
20100,10000,754
20200,10000,754
20300,10000,737
20400,10000,733
20500,10000,731
20600,10000,720
20700,10000,702
20800,10000,685
20900,10000,696
21000,10000,691
21100,10000,691
21200,10000,696
21300,10000,704
21400,10000,688
21500,10000,687
21600,10000,697
21700,10000,685
21800,10000,682
21900,10000,680
22000,10000,683
22100,10000,685
22200,10000,683
22300,10000,678
22400,10000,673
22500,10000,669
22600,10000,669
22700,10000,669
22800,10000,663
22900,10000,657
23000,10000,657
23100,10000,656
23200,10000,653
23300,10000,654
23400,10000,664
23500,10000,662
23600,10000,654
23700,10000,653
23800,10000,655
23900,10000,654
24000,10000,658
24100,10000,665
24200,10000,658
24300,10000,641
24400,10000,636
24500,10000,646
24600,10000,636
24700,10000,628
24800,10000,617
24900,10000,624
25000,10000,617
25100,10000,602
25200,10000,607
25300,10000,609
25400,10000,601
25500,10000,586
25600,10000,586
25700,10000,580
25800,10000,581
25900,10000,579
26000,10000,568
26100,10000,571
26200,10000,563
26300,10000,568
26400,10000,566
26500,10000,567
26600,10000,570
26700,10000,568
26800,10000,565
26900,10000,562
27000,10000,561
27100,10000,557
27200,10000,554
27300,10000,549
27400,10000,545
27500,10000,543
27600,10000,533
27700,10000,526
27800,10000,527
27900,10000,530
28000,10000,527
