parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000011101,1,0,487,85
000010001,3,0,437,84
000010101,2,0,464,85
000011000,7,0,89,2
000001011,1,0,442,83
000000000,9479,285,0,0
000001010,1,0,74,1
000011100,2,0,121,3
000100001,1,0,409,84
000100000,14,1,14,1
000101000,1,0,69,2
000000101,3,0,423,84
000001001,8,0,411,82
000000100,19,1,30,1
000010000,28,1,35,1
000111100,3,0,135,4
000001000,20,0,26,0
000010010,5,0,84,3
000000001,359,82,24,0
000110100,4,1,104,3
000001100,2,0,85,2
000000010,19,1,12,0
000000011,5,0,403,83
000100100,5,0,60,3
000010100,8,0,84,3
