parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000100010,1,0,46,2
000010101,1,0,402,81
000010001,1,0,383,80
000110001,1,0,406,81
000010010,1,0,63,2
000001101,1,0,398,82
000000101,4,0,364,81
000001001,1,0,373,80
000001000,17,1,24,0
000110100,4,0,90,3
000000001,325,79,11,0
000001100,1,0,70,3
000000100,12,1,26,1
000101000,1,0,69,2
000011000,7,0,73,2
000100100,5,0,54,3
000010100,3,1,73,1
000100000,15,1,18,0
000001010,6,0,43,2
000110000,2,0,74,2
000011100,2,0,99,3
000010000,25,0,27,1
000100001,1,0,366,80
000000000,9552,245,0,0
000011110,1,0,106,4
000010110,1,0,87,3
000011001,1,0,409,81
000111100,2,0,116,4
000101100,1,0,90,4
000000010,5,1,10,0
