parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000000111,1,0,463,104
000100100,2,0,82,4
000000101,10,0,429,93
000001001,5,1,422,93
000010001,11,1,463,94
000010101,2,0,499,97
000001000,16,3,22,3
000101100,1,0,111,10
000111100,5,0,167,15
000100001,5,0,420,91
000010000,48,4,47,3
000011001,1,1,493,98
000000010,21,10,9,2
000000011,2,0,420,102
000000100,21,1,39,2
000000000,9449,339,0,0
000011000,5,0,115,12
000100101,1,0,457,94
000000001,355,87,41,3
000001100,2,0,86,9
000110100,2,0,148,10
100000000,1,0,0,0
000110000,8,0,107,8
000100000,9,1,29,0
000001010,1,1,65,16
000011100,1,0,155,14
000000110,1,1,86,13
000010010,1,0,122,19
000010100,8,1,126,8
000110101,2,0,510,98
000111111,1,0,549,112
000100010,2,0,63,13
