update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,9999,40000,0,0,2,4,0,3,0,4,1,0,0,0,0,0,0,0
200,9996,40000,0,0,1,4,1,2,2,9,0,5,0,0,0,0,0,0
300,9993,40000,0,0,0,7,1,1,4,7,2,2,0,0,0,0,0,0
400,9994,40000,0,0,3,7,2,6,1,9,0,4,0,0,0,0,0,0
500,9993,40000,0,0,2,6,1,7,3,9,1,5,0,0,0,0,0,0
600,9995,33976,0,0,1,5,2,4,0,3,2,2,0,0,0,0,0,0
700,9988,32146,0,0,1,5,3,3,4,8,4,3,0,0,0,0,0,0
800,9993,32149,0,0,1,8,4,4,2,3,0,4,0,0,0,0,0,0
900,9989,32148,0,0,3,8,4,3,2,3,2,2,0,0,0,0,0,0
1000,9998,32149,0,0,0,4,1,3,1,11,0,4,0,0,0,0,0,0
