update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,10002,40000,0,0,0,5,0,2,0,8,0,2,0,0,0,0,0,0
200,9990,40000,0,0,4,9,0,5,4,5,2,6,0,0,0,0,0,0
300,9994,40000,0,0,2,7,1,2,3,9,0,4,0,0,0,0,0,0
400,9992,40000,0,0,3,6,0,2,4,8,1,3,0,0,0,0,0,0
500,9996,40000,0,0,1,10,1,4,1,9,1,6,0,0,0,0,0,0
600,9994,34124,0,0,3,8,1,2,2,12,0,0,0,0,0,0,0,0
700,9995,32365,0,0,1,7,1,5,2,8,1,0,0,0,0,0,0,0
800,9990,32364,3,0,2,7,3,3,1,2,1,5,0,0,0,0,0,0
900,9991,32364,0,0,2,8,2,4,5,4,0,7,0,0,0,0,0,0
1000,9995,32360,0,0,2,14,0,2,2,2,1,5,0,0,0,0,0,0
