parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000010101,0,1,2502,8098
000100101,1,1,2502,8098
000000010,1,1,0,0
000001000,3,0,4,29
000010001,26,59,2476,8040
000000101,16,53,2486,8046
000100000,1,0,6,36
000001001,4,29,2501,8070
000000000,7493,107,0,0
000100001,5,35,2498,8064
000000001,2450,7921,52,178
