parent_task_completions,host_count,symbiont_count,can_inf_hosts,can_inf_symbionts
000010000,1,0,15,0
000000010,2,0,0,0
000001000,1,0,7,0
000000101,11,0,2489,0
000010001,15,0,2486,0
000001001,7,0,2494,0
000000000,7496,0,0,0
000100001,5,0,2495,0
000000001,2462,0,38,0
